sample_id,true_label,base_pred,steered_pred,base_case,steered_case,base_status,steered_status,effect_group,prediction_changed,condition_score,condition_threshold,condition_gate
yfcc-11268467633,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.05243699997663498,-0.07901761,True
yfcc-1139613029,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.015652142465114594,-0.07901761,True
yfcc-1184148743,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.057507943361997604,-0.07901761,True
yfcc-11877360873,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.08689220249652863,-0.07901761,False
yfcc-118823655,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.09281477332115173,-0.07901761,True
yfcc-12246783313,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.17460626363754272,-0.07901761,False
yfcc-12403641564,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.03645554184913635,-0.07901761,True
yfcc-1251260035,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.06885956972837448,-0.07901761,True
yfcc-129841428,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.03590525686740875,-0.07901761,True
yfcc-13068369505,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.15614601969718933,-0.07901761,True
yfcc-1310414381,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.05029783397912979,-0.07901761,True
yfcc-132859657,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.025690101087093353,-0.07901761,True
yfcc-1386606787,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.1200971007347107,-0.07901761,False
yfcc-14006146813,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.018637508153915405,-0.07901761,True
yfcc-1461522249,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.034185122698545456,-0.07901761,True
yfcc-1499652266,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.08639185130596161,-0.07901761,False
yfcc-1574809957,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.035473596304655075,-0.07901761,True
yfcc-1659477928,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.04008321836590767,-0.07901761,True
yfcc-1775860430,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06134820729494095,-0.07901761,True
yfcc-1873728,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.0959179699420929,-0.07901761,True
yfcc-196487837,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.1253535896539688,-0.07901761,True
yfcc-2063907099,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07673953473567963,-0.07901761,True
yfcc-2070098562,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.09788206964731216,-0.07901761,False
yfcc-2070582968,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.03546784818172455,-0.07901761,True
yfcc-207443884,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06859129667282104,-0.07901761,True
yfcc-2121125262,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.003181353211402893,-0.07901761,True
yfcc-2166577970,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06952886283397675,-0.07901761,True
yfcc-218049846,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.07539114356040955,-0.07901761,True
yfcc-223628221,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.020650865510106087,-0.07901761,True
yfcc-2239196368,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.02284466102719307,-0.07901761,True
yfcc-2337753762,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.08841391652822495,-0.07901761,True
yfcc-243799407,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.04854144901037216,-0.07901761,True
yfcc-251877645,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.054678887128829956,-0.07901761,True
yfcc-2527465034,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.02369360812008381,-0.07901761,True
yfcc-2598854747,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.045745790004730225,-0.07901761,True
yfcc-2658419148,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.07008947432041168,-0.07901761,True
yfcc-2658810860,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.04080400615930557,-0.07901761,True
yfcc-2672387894,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.0844368264079094,-0.07901761,True
yfcc-2694726216,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.009151843376457691,-0.07901761,True
yfcc-2711089183,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.010422571562230587,-0.07901761,True
yfcc-2711336662,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06001096963882446,-0.07901761,True
yfcc-2761693779,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.03200587257742882,-0.07901761,True
yfcc-2790764148,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.047392237931489944,-0.07901761,True
yfcc-280847097,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.0815548449754715,-0.07901761,True
yfcc-2833592610,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.039955802261829376,-0.07901761,True
yfcc-284743606,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.04729572311043739,-0.07901761,True
yfcc-2849499767,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.052794791758060455,-0.07901761,True
yfcc-2877611238,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.013516218401491642,-0.07901761,True
yfcc-2954529438,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.030697615817189217,-0.07901761,True
yfcc-2964967589,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.06556369364261627,-0.07901761,True
yfcc-2977977824,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.020148033276200294,-0.07901761,True
yfcc-3005901150,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.014509182423353195,-0.07901761,True
yfcc-3026108799,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.10513772070407867,-0.07901761,True
yfcc-3070385128,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07888288050889969,-0.07901761,True
yfcc-307166108,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.04234831780195236,-0.07901761,True
yfcc-3081675111,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.06790103018283844,-0.07901761,True
yfcc-3085433029,A,B,C,A_to_B,A_to_C,over,over,wrong_to_wrong,True,-0.10481667518615723,-0.07901761,False
yfcc-325392247,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.0008790623396635056,-0.07901761,True
yfcc-334737420,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.09087724983692169,-0.07901761,True
yfcc-3376246863,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.013413572683930397,-0.07901761,True
yfcc-3387069263,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.07297065854072571,-0.07901761,True
yfcc-3448603463,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07824286073446274,-0.07901761,True
yfcc-3461534897,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.017166398465633392,-0.07901761,True
yfcc-3467612505,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.017993876710534096,-0.07901761,True
yfcc-3491269768,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.009209592826664448,-0.07901761,True
yfcc-3492534402,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.027162646874785423,-0.07901761,True
yfcc-3511424366,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.01242903247475624,-0.07901761,True
yfcc-358066578,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.03153524175286293,-0.07901761,True
yfcc-358786282,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.07355019450187683,-0.07901761,True
yfcc-3618362155,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.07514750957489014,-0.07901761,True
yfcc-3625381914,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07303772121667862,-0.07901761,True
yfcc-3671032513,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07591520249843597,-0.07901761,True
yfcc-3672094201,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.057595863938331604,-0.07901761,True
yfcc-3754912645,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.09095881134271622,-0.07901761,True
yfcc-3775644661,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.1015917956829071,-0.07901761,False
yfcc-3820459259,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.06196414306759834,-0.07901761,True
yfcc-3841185844,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.02419963851571083,-0.07901761,True
yfcc-3844296196,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.05106077715754509,-0.07901761,True
yfcc-3891869469,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.0466192401945591,-0.07901761,True
yfcc-3974322793,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.049679387360811234,-0.07901761,True
yfcc-3983138332,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.07202918827533722,-0.07901761,True
yfcc-3993491561,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.08114590495824814,-0.07901761,True
yfcc-4134663298,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.014938807114958763,-0.07901761,True
yfcc-41462457,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.005709614604711533,-0.07901761,True
yfcc-4150565298,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.021841736510396004,-0.07901761,True
yfcc-4167051309,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.06905211508274078,-0.07901761,True
yfcc-4185259785,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.08701592683792114,-0.07901761,True
yfcc-4190557835,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07830381393432617,-0.07901761,True
yfcc-4218701807,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.03659593313932419,-0.07901761,True
yfcc-4268908667,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.021224776282906532,-0.07901761,True
yfcc-4280912022,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.05178020894527435,-0.07901761,True
yfcc-4441179970,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.005470599979162216,-0.07901761,True
yfcc-4487890778,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.046137627214193344,-0.07901761,True
yfcc-4489698334,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.03405991941690445,-0.07901761,True
yfcc-449421558,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.021551819518208504,-0.07901761,True
yfcc-4509567625,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.06944736838340759,-0.07901761,True
yfcc-4517989195,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.04888059198856354,-0.07901761,True
yfcc-4528710697,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.09306757152080536,-0.07901761,True
yfcc-456712325,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.03295329585671425,-0.07901761,True
yfcc-4571896781,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.026128221303224564,-0.07901761,True
yfcc-4643100483,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.017844781279563904,-0.07901761,True
yfcc-4666255819,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.03510713949799538,-0.07901761,True
yfcc-4678764272,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.045925334095954895,-0.07901761,True
yfcc-467879389,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07401026785373688,-0.07901761,True
yfcc-4687982688,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.11158373206853867,-0.07901761,False
yfcc-4744212239,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07661283016204834,-0.07901761,True
yfcc-4751070645,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.06865176558494568,-0.07901761,True
yfcc-4783680270,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.05597131326794624,-0.07901761,True
yfcc-4827694508,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.05239001661539078,-0.07901761,True
yfcc-4859115071,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.15289077162742615,-0.07901761,False
yfcc-4874241461,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.01312107965350151,-0.07901761,True
yfcc-498279356,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.024348251521587372,-0.07901761,True
yfcc-5023753064,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.07779842615127563,-0.07901761,True
yfcc-5090461556,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.007240673527121544,-0.07901761,True
yfcc-5192090589,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.09268145263195038,-0.07901761,False
yfcc-5215079599,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.0647120475769043,-0.07901761,True
yfcc-5219647169,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.03303026780486107,-0.07901761,True
yfcc-5221253319,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.075889952480793,-0.07901761,True
yfcc-5238322730,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.013647961430251598,-0.07901761,True
yfcc-523909268,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07730305939912796,-0.07901761,True
yfcc-5251930764,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.048933062702417374,-0.07901761,True
yfcc-5348320913,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.14728322625160217,-0.07901761,False
yfcc-5370915569,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.0037037674337625504,-0.07901761,True
yfcc-5386609351,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.037985317409038544,-0.07901761,True
yfcc-5388832971,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.056044816970825195,-0.07901761,True
yfcc-5404476958,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.015069438144564629,-0.07901761,True
yfcc-5473969715,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.03823747858405113,-0.07901761,True
yfcc-5566412490,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.01644156314432621,-0.07901761,True
yfcc-5587112823,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.013965382240712643,-0.07901761,True
yfcc-5604409777,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.049649640917778015,-0.07901761,True
yfcc-561532373,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.09857843071222305,-0.07901761,True
yfcc-5706920699,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.07477189600467682,-0.07901761,True
yfcc-5708965627,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.017722632735967636,-0.07901761,True
yfcc-5746464724,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.040002454072237015,-0.07901761,True
yfcc-5751275502,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.11177709698677063,-0.07901761,True
yfcc-5773277714,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.03357996046543121,-0.07901761,True
yfcc-5847214587,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.06830841302871704,-0.07901761,True
yfcc-5893139952,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.12661230564117432,-0.07901761,True
yfcc-5925103165,B,A,A,B_to_A,B_to_A,under,under,wrong_to_wrong,False,0.0768040120601654,-0.07901761,True
yfcc-5966289914,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.02189391851425171,-0.07901761,True
yfcc-5968199926,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.06845542788505554,-0.07901761,True
yfcc-5986769383,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.0005297213792800903,-0.07901761,True
yfcc-6053374791,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.08143097162246704,-0.07901761,True
yfcc-6074064623,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.10930562764406204,-0.07901761,True
yfcc-6077184265,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.022467367351055145,-0.07901761,True
yfcc-6077664742,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.09382425993680954,-0.07901761,True
yfcc-6079341887,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.005361292511224747,-0.07901761,True
yfcc-6096012842,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.117433562874794,-0.07901761,True
yfcc-6127913719,B,C,C,B_to_C,B_to_C,over,over,wrong_to_wrong,False,-0.1904396116733551,-0.07901761,False
yfcc-6163452230,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.01085946336388588,-0.07901761,True
yfcc-6195994913,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.0549296960234642,-0.07901761,True
yfcc-6331592414,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.02788344956934452,-0.07901761,True
yfcc-6335084059,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.025472069159150124,-0.07901761,True
yfcc-6343370101,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.006704414263367653,-0.07901761,True
yfcc-6817087374,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06197679415345192,-0.07901761,True
yfcc-6820713503,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.13484425842761993,-0.07901761,True
yfcc-6910641820,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.053563375025987625,-0.07901761,True
yfcc-6925234617,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.04108286276459694,-0.07901761,True
yfcc-6927341170,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.14739090204238892,-0.07901761,False
yfcc-6929937162,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.0657876580953598,-0.07901761,True
yfcc-6961386470,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.02255641110241413,-0.07901761,True
yfcc-6961442808,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.06793485581874847,-0.07901761,True
yfcc-7005467,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.048750102519989014,-0.07901761,True
yfcc-7027212521,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.06395086646080017,-0.07901761,True
yfcc-7083727967,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.008173614740371704,-0.07901761,True
yfcc-7116772841,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.03306367248296738,-0.07901761,True
yfcc-7179771831,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07631779462099075,-0.07901761,True
yfcc-7281876710,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.11357010900974274,-0.07901761,False
yfcc-7391261220,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.041836660355329514,-0.07901761,True
yfcc-7404450384,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.10376128554344177,-0.07901761,True
yfcc-7459518468,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.07366320490837097,-0.07901761,True
yfcc-7467989216,C,A,A,C_to_A,C_to_A,under,under,wrong_to_wrong,False,0.09621869027614594,-0.07901761,True
yfcc-7472383116,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.07078301906585693,-0.07901761,True
yfcc-748585499,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.17527754604816437,-0.07901761,False
yfcc-7488269670,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.0043735988438129425,-0.07901761,True
yfcc-7521123428,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.017056792974472046,-0.07901761,True
yfcc-7590140652,A,B,C,A_to_B,A_to_C,over,over,wrong_to_wrong,True,-0.06565995514392853,-0.07901761,True
yfcc-7626042572,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.13581806421279907,-0.07901761,True
yfcc-7658341676,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.10413436591625214,-0.07901761,False
yfcc-7775156288,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.031707048416137695,-0.07901761,True
yfcc-7846842152,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.10785326361656189,-0.07901761,True
yfcc-8010095667,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.04475555196404457,-0.07901761,True
yfcc-80222907,A,B,C,A_to_B,A_to_C,over,over,wrong_to_wrong,True,-0.03300345316529274,-0.07901761,True
yfcc-8097524059,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.022735176607966423,-0.07901761,True
yfcc-8113631875,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.04190424084663391,-0.07901761,True
yfcc-8127295530,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.010566964745521545,-0.07901761,True
yfcc-8132574923,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.03912677615880966,-0.07901761,True
yfcc-8145531692,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.08760932087898254,-0.07901761,True
yfcc-8163759207,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.004807809367775917,-0.07901761,True
yfcc-8166649709,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.010419178754091263,-0.07901761,True
yfcc-8169539155,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.048793017864227295,-0.07901761,True
yfcc-8172998383,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.01684621348977089,-0.07901761,True
yfcc-8203034515,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.05936356261372566,-0.07901761,True
yfcc-8276295639,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.12837232649326324,-0.07901761,False
yfcc-8289629203,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.0810827761888504,-0.07901761,True
yfcc-8337195900,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.0698847770690918,-0.07901761,True
yfcc-8375664191,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.01140319462865591,-0.07901761,True
yfcc-8382691094,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.02188919484615326,-0.07901761,True
yfcc-8392269501,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.01993485912680626,-0.07901761,True
yfcc-8433157863,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.14201626181602478,-0.07901761,False
yfcc-8438934300,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.09441884607076645,-0.07901761,True
yfcc-8596096619,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.0366070494055748,-0.07901761,True
yfcc-8629822509,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.04062323272228241,-0.07901761,True
yfcc-8672798282,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.03553071990609169,-0.07901761,True
